Open Data Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB18 Sample: 23rd - 24th October 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Gender,,Age,,,,,Social Grade,,Region,,,,,,,,Government Region,,,,,,,,,,,,Working Status,,,,,,,Marital Status,,,,,Children in Household,,,,,,Parent/ Guardian,,,,,,,,Social Media/ Messaging service (within the last month),,,,,,,,,
Net: Not important,6%,7%,5%,7%,7%,6%,7%,6%,5%,8%,7%,6%,6%,7%,6%,7%,6%,4%,2%,8%,9%,6%,7%,6%,7%,7%,4%,7%,6%,4%,6%,5%,6%,4%,5%,14%,12%,7%,4%,5%,10%,6%,6%,5%,9%,14%,8%,11%,7%,5%,9%,8%,11%,8%,8%,7%,6%,6%,3%,8%,4%,5%,9%,6%,6%,5%
"LAM_Q6a. Thinking about how organisations indicate to you that they are using data ethically…

In general, which, if any, of the following would you trust to use personal data about you ethically? (Please select all that apply)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unweighted base,2007,941,1066,182,312,373,330,810,1173,834,482,330,174,266,480,1732,99,176,86,210,186,183,147,174,266,295,185,1732,99,176,876,284,1160,87,522,67,171,902,281,187,86,538,1469,239,182,61,482,56,1128,879,168,216,146,63,454,734,1381,621,315,56,253,582,225,1171,1211,191
Base: All GB adults online,2007,973,1034,223,308,365,332,779,1144,863,480,331,171,271,481,1734,98,175,86,208,186,186,146,171,271,295,187,1734,98,175,873,290,1163,105,488,71,180,883,281,182,81,567,1454,245,182,65,492,61,1113,894,170,219,148,66,461,713,1383,634,312,57,246,597,248,1182,1213,189
Central Government,30%,32%,28%,29%,26%,33%,28%,30%,33%,25%,29%,28%,26%,30%,31%,29%,35%,29%,35%,27%,29%,29%,25%,26%,30%,29%,35%,29%,35%,29%,31%,25%,29%,31%,33%,32%,22%,30%,33%,22%,33%,29%,30%,27%,33%,26%,29%,20%,28%,31%,31%,26%,29%,24%,28%,28%,30%,31%,36%,26%,36%,31%,27%,30%,30%,35%
"Emergency services (e.g police, fire etc.)",47%,44%,51%,47%,47%,51%,43%,48%,51%,43%,46%,48%,49%,44%,49%,47%,50%,48%,51%,46%,46%,47%,49%,49%,44%,46%,54%,47%,50%,48%,49%,50%,49%,53%,50%,40%,30%,49%,47%,48%,54%,45%,48%,52%,50%,34%,49%,26%,48%,47%,48%,46%,47%,50%,47%,47%,50%,50%,51%,52%,57%,54%,52%,51%,52%,55%
My local authority,31%,30%,31%,29%,30%,32%,29%,31%,33%,28%,28%,30%,30%,29%,32%,30%,38%,29%,31%,25%,31%,35%,25%,30%,29%,30%,36%,30%,38%,29%,30%,28%,30%,37%,33%,34%,25%,30%,32%,25%,39%,32%,31%,27%,33%,30%,30%,16%,29%,33%,30%,29%,23%,31%,28%,29%,32%,35%,35%,26%,38%,33%,30%,33%,32%,35%
NHS and healthcare providers,59%,56%,61%,54%,59%,58%,54%,62%,62%,55%,58%,61%,60%,50%,59%,58%,69%,61%,61%,60%,56%,58%,64%,60%,50%,58%,61%,58%,69%,61%,59%,61%,60%,58%,63%,57%,40%,60%,63%,57%,60%,54%,60%,67%,58%,43%,60%,25%,60%,57%,62%,52%,52%,62%,58%,61%,61%,63%,66%,57%,73%,65%,62%,62%,61%,67%
"Online retailers (e.g. Amazon, Ebay etc.)",10%,8%,12%,8%,13%,11%,11%,8%,9%,11%,9%,14%,9%,8%,10%,10%,12%,8%,12%,7%,8%,13%,16%,9%,8%,8%,12%,10%,12%,8%,10%,10%,10%,11%,8%,13%,10%,10%,13%,11%,8%,9%,9%,13%,9%,11%,11%,8%,10%,9%,14%,11%,10%,16%,12%,9%,10%,11%,10%,12%,14%,11%,12%,11%,11%,10%
Offline retailers (i.e. physical shops),6%,6%,6%,8%,8%,7%,6%,5%,7%,6%,6%,6%,9%,8%,6%,7%,5%,4%,7%,7%,4%,5%,8%,9%,8%,5%,9%,7%,5%,4%,7%,7%,7%,11%,4%,7%,4%,7%,5%,5%,2%,7%,6%,6%,8%,11%,7%,7%,6%,6%,7%,9%,8%,8%,8%,5%,7%,7%,8%,4%,9%,6%,6%,7%,7%,8%
"Banks, building societies (e.g. Halifax, Barclays etc.)",42%,38%,46%,33%,38%,41%,40%,48%,43%,41%,44%,41%,42%,39%,39%,41%,56%,41%,48%,42%,45%,37%,45%,42%,39%,37%,43%,41%,56%,41%,41%,45%,42%,39%,48%,35%,29%,45%,45%,40%,48%,36%,43%,43%,40%,29%,40%,29%,43%,40%,41%,36%,35%,48%,40%,45%,44%,42%,47%,38%,52%,43%,39%,44%,43%,50%
Credit card companies,24%,23%,24%,12%,20%,22%,22%,31%,23%,24%,22%,26%,23%,22%,23%,23%,35%,22%,22%,23%,22%,23%,30%,23%,22%,21%,26%,23%,35%,22%,22%,24%,23%,16%,31%,17%,19%,28%,22%,24%,27%,17%,25%,22%,20%,15%,20%,15%,26%,21%,18%,21%,18%,29%,21%,29%,24%,22%,24%,35%,26%,24%,20%,24%,23%,29%
"Medical research charities (e.g. Cancer Research UK, MS Society etc.)",25%,24%,26%,26%,25%,24%,26%,25%,27%,23%,24%,25%,22%,26%,28%,25%,27%,21%,22%,26%,22%,25%,26%,22%,26%,28%,26%,25%,27%,21%,24%,25%,25%,29%,29%,21%,18%,25%,24%,28%,32%,24%,26%,20%,26%,21%,22%,17%,25%,25%,24%,22%,26%,29%,23%,26%,26%,30%,28%,28%,29%,28%,28%,26%,28%,29%
"Marketing and advertising companies (e.g. Saatchi & Saatchi, JCDecaux etc.)",3%,3%,3%,7%,3%,2%,3%,1%,3%,2%,2%,2%,2%,4%,3%,3%,2%,4%,-,4%,2%,2%,1%,2%,4%,3%,4%,3%,2%,4%,2%,4%,3%,8%,1%,10%,2%,2%,4%,2%,-,4%,2%,4%,4%,8%,4%,9%,2%,3%,5%,3%,5%,6%,4%,1%,3%,4%,4%,2%,3%,4%,6%,3%,3%,7%
"Insurance Companies (e.g. Aviva, Direct Line etc.)",20%,19%,21%,15%,20%,19%,18%,22%,20%,20%,19%,22%,25%,18%,17%,19%,27%,20%,20%,20%,17%,23%,20%,25%,18%,16%,19%,19%,27%,20%,20%,23%,20%,14%,23%,22%,10%,22%,22%,18%,21%,15%,20%,22%,21%,17%,21%,13%,21%,19%,24%,19%,15%,26%,21%,20%,21%,21%,24%,21%,24%,23%,18%,21%,20%,24%
"Social media organisations (e.g. LinkedIn, Facebook, Instagram etc.)",5%,5%,5%,8%,8%,6%,5%,3%,5%,5%,3%,5%,4%,6%,4%,4%,8%,8%,1%,4%,4%,5%,4%,4%,6%,4%,5%,4%,8%,8%,5%,6%,5%,8%,4%,13%,2%,4%,6%,6%,5%,6%,4%,5%,7%,11%,7%,7%,4%,6%,7%,9%,6%,9%,7%,2%,6%,6%,7%,6%,8%,7%,10%,6%,5%,7%
Universities,18%,17%,19%,36%,24%,20%,17%,10%,21%,14%,20%,15%,17%,18%,16%,18%,22%,19%,22%,22%,17%,17%,13%,17%,18%,15%,19%,18%,22%,19%,19%,21%,20%,50%,10%,21%,11%,15%,22%,12%,9%,24%,17%,19%,22%,23%,21%,21%,13%,24%,19%,18%,18%,20%,18%,11%,19%,25%,23%,18%,22%,26%,28%,20%,21%,25%
Family and friends,34%,32%,37%,36%,35%,37%,33%,33%,35%,34%,32%,35%,34%,35%,36%,34%,35%,33%,37%,32%,31%,34%,37%,34%,35%,35%,38%,34%,35%,33%,35%,35%,35%,35%,35%,29%,31%,35%,35%,34%,33%,34%,34%,36%,37%,32%,36%,24%,34%,35%,35%,35%,33%,45%,35%,33%,35%,37%,37%,28%,39%,37%,38%,35%,37%,41%
"Utility providers (i.e. energy, water and telecoms companies)",18%,16%,20%,14%,20%,18%,18%,18%,18%,18%,19%,18%,19%,17%,17%,18%,21%,14%,19%,20%,19%,18%,19%,19%,17%,16%,18%,18%,21%,14%,19%,19%,19%,15%,18%,13%,15%,17%,23%,21%,18%,15%,18%,20%,21%,11%,19%,12%,18%,17%,20%,17%,16%,25%,19%,18%,19%,19%,21%,21%,23%,20%,18%,19%,19%,21%
Public transport providers,7%,7%,7%,12%,9%,4%,6%,6%,8%,5%,6%,7%,5%,13%,5%,7%,5%,4%,3%,7%,5%,6%,9%,5%,13%,5%,5%,7%,5%,4%,7%,6%,7%,12%,6%,11%,1%,5%,7%,4%,7%,9%,7%,4%,5%,11%,5%,11%,4%,9%,4%,4%,4%,6%,4%,4%,7%,9%,10%,5%,8%,8%,8%,7%,7%,9%
Food producers and farmers,4%,4%,4%,6%,6%,5%,3%,1%,4%,4%,4%,3%,4%,3%,4%,4%,2%,5%,5%,5%,4%,4%,2%,4%,3%,3%,6%,4%,2%,5%,5%,2%,4%,7%,2%,10%,3%,3%,5%,2%,2%,5%,3%,5%,7%,6%,6%,5%,3%,5%,6%,6%,6%,3%,5%,1%,5%,4%,4%,9%,4%,4%,7%,4%,4%,5%
None of these,14%,15%,12%,10%,10%,12%,18%,16%,13%,15%,13%,13%,13%,11%,16%,14%,12%,15%,12%,11%,17%,14%,13%,13%,11%,17%,14%,14%,12%,15%,13%,9%,12%,12%,16%,10%,23%,14%,9%,22%,9%,14%,14%,13%,9%,17%,12%,21%,14%,13%,4%,11%,15%,13%,11%,17%,12%,13%,11%,10%,9%,10%,8%,12%,12%,8%
Don't know,10%,10%,11%,16%,13%,11%,9%,8%,8%,14%,11%,11%,13%,12%,9%,11%,8%,10%,12%,12%,10%,14%,7%,13%,12%,8%,9%,11%,8%,10%,10%,9%,10%,14%,7%,20%,18%,9%,12%,7%,12%,13%,10%,6%,12%,12%,9%,30%,9%,12%,14%,12%,10%,7%,10%,9%,10%,8%,6%,11%,6%,9%,11%,10%,9%,8%
"LAM_Q7. As a reminder, by, 'personal data', we mean data that can be used to identify an individual (e.g. age, gender, address, telephone number etc.).Thinking about what you view as the ethical use of data... 

In general, which ONE, if any, of the following do you think should be MOST responsible for ensuring an individual's personal data is handled more ethically? (Please select the option that best applies. If you do not think anyone is most responsible for ensuring an individual's personal data is handled more ethically, please select the 'Not applicable' option)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unweighted base,2007,941,1066,182,312,373,330,810,1173,834,482,330,174,266,480,1732,99,176,86,210,186,183,147,174,266,295,185,1732,99,176,876,284,1160,87,522,67,171,902,281,187,86,538,1469,239,182,61,482,56,1128,879,168,216,146,63,454,734,1381,621,315,56,253,582,225,1171,1211,191
Base: All GB adults online,2007,973,1034,223,308,365,332,779,1144,863,480,331,171,271,481,1734,98,175,86,208,186,186,146,171,271,295,187,1734,98,175,873,290,1163,105,488,71,180,883,281,182,81,567,1454,245,182,65,492,61,1113,894,170,219,148,66,461,713,1383,634,312,57,246,597,248,1182,1213,189
Government and regulators like the Information Commissioner's Office (ICO),44%,46%,42%,43%,36%,42%,43%,48%,45%,42%,40%,45%,40%,45%,43%,43%,47%,51%,39%,39%,42%,42%,48%,40%,45%,41%,48%,43%,47%,51%,41%,44%,42%,54%,47%,32%,43%,45%,42%,49%,39%,42%,45%,44%,43%,33%,42%,28%,44%,43%,36%,39%,41%,48%,40%,47%,45%,46%,45%,48%,51%,43%,41%,44%,44%,52%
Companies and organisations,18%,19%,17%,17%,30%,25%,18%,10%,22%,13%,19%,16%,19%,17%,21%,19%,11%,14%,18%,20%,19%,16%,17%,19%,17%,22%,19%,19%,11%,14%,25%,19%,24%,17%,9%,12%,10%,16%,24%,13%,4%,21%,17%,22%,21%,20%,21%,16%,16%,21%,25%,24%,17%,18%,23%,11%,18%,22%,29%,12%,18%,23%,18%,20%,21%,21%
Consumer rights organisations,3%,3%,4%,2%,2%,3%,3%,5%,3%,4%,3%,5%,2%,5%,2%,3%,6%,2%,1%,5%,2%,5%,4%,2%,5%,3%,2%,3%,6%,2%,2%,3%,2%,-,6%,7%,4%,4%,3%,3%,3%,2%,3%,5%,3%,4%,4%,3%,4%,2%,4%,4%,4%,4%,4%,5%,3%,3%,3%,7%,3%,4%,5%,3%,3%,4%
The individual,12%,13%,12%,9%,8%,10%,14%,15%,12%,13%,14%,13%,12%,9%,12%,12%,16%,11%,15%,16%,12%,10%,16%,12%,9%,14%,9%,12%,16%,11%,12%,13%,13%,4%,15%,14%,7%,13%,12%,12%,19%,10%,13%,11%,10%,10%,11%,5%,14%,11%,11%,9%,13%,13%,11%,15%,12%,11%,11%,16%,10%,11%,12%,12%,12%,13%
Don't know,10%,9%,11%,15%,13%,8%,8%,9%,8%,13%,10%,12%,13%,11%,7%,10%,9%,10%,13%,8%,10%,15%,8%,13%,11%,7%,8%,10%,9%,10%,7%,7%,7%,18%,11%,22%,17%,9%,7%,9%,15%,12%,9%,8%,10%,20%,10%,26%,9%,10%,10%,13%,10%,3%,10%,9%,9%,10%,6%,5%,8%,8%,13%,9%,9%,2%
Not applicable – I don't think anyone is most responsible for ensuring that an individual's personal data is handled more ethically,13%,11%,15%,15%,11%,12%,14%,13%,11%,16%,14%,10%,14%,12%,14%,13%,11%,13%,15%,13%,16%,11%,7%,14%,12%,14%,14%,13%,11%,13%,12%,14%,13%,7%,13%,12%,19%,12%,12%,13%,20%,13%,13%,11%,14%,13%,12%,23%,13%,13%,14%,12%,15%,13%,13%,13%,12%,8%,8%,12%,9%,11%,11%,12%,12%,8%
"LAM_Q8a. Please imagine that you and your family were able to receive a personalised public service (such as social care or education) if you shared personal data about you with your local authority...

In general, which, if any, of the following types of data would you be comfortable sharing with your local authority in exchange for this type of service? (Please select all that apply)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unweighted base,2007,941,1066,182,312,373,330,810,1173,834,482,330,174,266,480,1732,99,176,86,210,186,183,147,174,266,295,185,1732,99,176,876,284,1160,87,522,67,171,902,281,187,86,538,1469,239,182,61,482,56,1128,879,168,216,146,63,454,734,1381,621,315,56,253,582,225,1171,1211,191
Base: All GB adults online,2007,973,1034,223,308,365,332,779,1144,863,480,331,171,271,481,1734,98,175,86,208,186,186,146,171,271,295,187,1734,98,175,873,290,1163,105,488,71,180,883,281,182,81,567,1454,245,182,65,492,61,1113,894,170,219,148,66,461,713,1383,634,312,57,246,597,248,1182,1213,189
Personal data about me (e.g. my name and address etc.),44%,44%,44%,42%,45%,43%,40%,47%,48%,39%,43%,41%,51%,42%,43%,43%,52%,48%,46%,43%,43%,40%,41%,51%,42%,42%,46%,43%,52%,48%,45%,47%,46%,49%,47%,29%,29%,45%,48%,47%,39%,42%,46%,40%,45%,42%,42%,17%,44%,44%,43%,42%,40%,51%,42%,46%,47%,50%,51%,42%,52%,49%,44%,47%,47%,52%
Sensitive data about me (e.g. my race or sexual orientation etc.),23%,22%,23%,27%,31%,28%,18%,18%,25%,19%,26%,20%,22%,22%,22%,23%,24%,22%,23%,29%,23%,20%,20%,22%,22%,24%,19%,23%,24%,22%,27%,24%,26%,33%,16%,18%,14%,22%,28%,21%,14%,23%,22%,24%,31%,22%,26%,9%,22%,24%,30%,29%,27%,28%,28%,18%,25%,28%,29%,32%,28%,29%,32%,26%,27%,27%
Behavioural data about me (e.g. what I like on social media or my travel patterns etc.),13%,13%,13%,20%,22%,17%,9%,8%,14%,12%,13%,10%,11%,17%,13%,13%,13%,16%,11%,10%,16%,9%,12%,11%,17%,13%,13%,13%,13%,16%,16%,13%,15%,23%,8%,9%,8%,12%,17%,6%,9%,15%,11%,16%,20%,19%,18%,11%,11%,16%,21%,18%,10%,11%,16%,7%,14%,17%,19%,21%,15%,18%,22%,15%,15%,16%
Data about my community (e.g. statistics about the kind of people who live in my area or where crimes happen etc.),44%,43%,45%,44%,51%,47%,45%,39%,48%,39%,44%,43%,43%,46%,44%,44%,47%,41%,37%,45%,45%,41%,46%,43%,46%,44%,44%,44%,47%,41%,49%,49%,49%,42%,39%,41%,29%,44%,53%,38%,37%,43%,43%,49%,53%,43%,50%,29%,43%,45%,48%,53%,44%,49%,49%,40%,47%,54%,60%,51%,54%,52%,51%,49%,49%,55%
Data about my environment (e.g. air quality or bus routes etc.),48%,49%,48%,52%,52%,48%,48%,46%,52%,43%,46%,47%,51%,51%,48%,48%,56%,46%,42%,46%,48%,44%,51%,51%,51%,50%,45%,48%,56%,46%,53%,50%,52%,47%,46%,40%,31%,48%,53%,43%,43%,49%,48%,50%,56%,41%,51%,27%,47%,49%,50%,52%,48%,46%,49%,46%,51%,57%,63%,48%,57%,55%,56%,52%,52%,64%
None of these,16%,17%,16%,8%,16%,15%,17%,20%,14%,19%,16%,18%,15%,14%,17%,16%,15%,18%,19%,15%,17%,17%,19%,15%,14%,17%,18%,16%,15%,18%,14%,13%,14%,8%,19%,20%,29%,18%,12%,23%,24%,13%,17%,16%,13%,13%,15%,23%,17%,16%,14%,13%,16%,13%,15%,19%,14%,11%,9%,21%,8%,9%,7%,14%,13%,13%
Don't know,14%,13%,15%,19%,12%,15%,17%,12%,12%,16%,15%,14%,14%,15%,14%,14%,9%,14%,19%,14%,13%,16%,12%,14%,15%,14%,14%,14%,9%,14%,13%,15%,13%,20%,11%,20%,21%,13%,14%,9%,15%,17%,14%,13%,12%,14%,13%,30%,13%,15%,14%,13%,12%,14%,13%,13%,13%,11%,9%,11%,11%,13%,15%,12%,13%,6%
"LAM_Q9. Please imagine that your local authority was able to improve how they deliver public services (such as social care or education) by collecting data which was not used to pinpoint or target individuals...

In general, which, if any, of the following kinds of data would you be comfortable with your local authority collecting from you? (Please select all that apply)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unweighted base,2007,941,1066,182,312,373,330,810,1173,834,482,330,174,266,480,1732,99,176,86,210,186,183,147,174,266,295,185,1732,99,176,876,284,1160,87,522,67,171,902,281,187,86,538,1469,239,182,61,482,56,1128,879,168,216,146,63,454,734,1381,621,315,56,253,582,225,1171,1211,191
Base: All GB adults online,2007,973,1034,223,308,365,332,779,1144,863,480,331,171,271,481,1734,98,175,86,208,186,186,146,171,271,295,187,1734,98,175,873,290,1163,105,488,71,180,883,281,182,81,567,1454,245,182,65,492,61,1113,894,170,219,148,66,461,713,1383,634,312,57,246,597,248,1182,1213,189
Data from surveys that ask questions about my preferences,36%,35%,38%,39%,41%,43%,36%,30%,40%,31%,37%,35%,35%,39%,36%,36%,33%,35%,35%,35%,40%,37%,33%,35%,39%,39%,30%,36%,33%,35%,42%,37%,40%,39%,31%,21%,27%,35%,47%,35%,24%,35%,35%,43%,41%,40%,42%,15%,35%,38%,46%,41%,31%,32%,40%,30%,38%,43%,46%,40%,48%,43%,43%,39%,39%,48%
Data from surveys that ask questions about my habits such as how long it takes me to travel to work,40%,39%,42%,46%,44%,46%,39%,35%,45%,34%,40%,37%,37%,45%,42%,41%,41%,38%,40%,40%,41%,35%,40%,37%,45%,46%,36%,41%,41%,38%,46%,44%,46%,49%,34%,25%,24%,39%,49%,36%,34%,42%,39%,47%,48%,40%,46%,21%,39%,43%,46%,46%,39%,37%,45%,35%,42%,48%,57%,43%,49%,48%,44%,43%,44%,57%
Data from surveys that ask questions about my sensitive personal characteristics such as my race or sexual orientation,21%,20%,21%,28%,29%,28%,17%,14%,24%,17%,23%,21%,17%,21%,20%,21%,19%,23%,22%,26%,22%,20%,22%,17%,21%,22%,15%,21%,19%,23%,24%,22%,24%,35%,13%,18%,15%,20%,27%,14%,9%,23%,19%,26%,29%,22%,27%,14%,19%,23%,33%,27%,19%,15%,26%,15%,22%,29%,28%,30%,29%,28%,31%,22%,24%,30%
What I am saying on social media,4%,5%,3%,11%,4%,5%,1%,3%,4%,4%,4%,5%,3%,5%,5%,4%,6%,3%,2%,3%,5%,6%,3%,3%,5%,5%,5%,4%,6%,3%,4%,3%,4%,7%,4%,6%,5%,3%,5%,2%,1%,7%,4%,5%,6%,3%,5%,6%,3%,5%,6%,6%,2%,-,4%,2%,4%,4%,5%,11%,4%,5%,6%,4%,4%,5%
What I am searching for online,4%,4%,4%,5%,5%,5%,1%,3%,3%,4%,3%,3%,6%,5%,4%,4%,3%,3%,-,3%,5%,4%,2%,6%,5%,3%,4%,4%,3%,3%,3%,5%,4%,6%,4%,6%,2%,4%,6%,2%,3%,4%,4%,4%,5%,2%,4%,2%,4%,4%,8%,5%,1%,3%,5%,3%,4%,4%,5%,8%,3%,5%,6%,4%,4%,7%
How I am using online services provided by the local authority,35%,36%,35%,32%,33%,41%,36%,35%,40%,30%,35%,35%,32%,39%,36%,35%,42%,32%,38%,34%,36%,31%,40%,32%,39%,39%,31%,35%,42%,32%,39%,35%,38%,32%,37%,24%,21%,35%,42%,34%,32%,34%,36%,35%,35%,35%,35%,18%,34%,37%,35%,36%,35%,36%,36%,33%,38%,44%,49%,37%,43%,37%,35%,38%,38%,45%
"How I am using non-government services (e.g. Uber, AirBnB etc.)",10%,9%,12%,16%,12%,14%,7%,7%,12%,8%,11%,12%,10%,13%,8%,10%,8%,9%,6%,14%,9%,13%,11%,10%,13%,9%,6%,10%,8%,9%,12%,10%,11%,19%,7%,8%,6%,9%,15%,5%,5%,12%,9%,12%,16%,12%,14%,9%,9%,11%,16%,13%,11%,8%,12%,7%,10%,14%,15%,16%,14%,14%,16%,11%,12%,16%
The movements of my mobile phone,3%,4%,3%,6%,4%,5%,2%,3%,4%,3%,3%,3%,4%,4%,4%,3%,4%,3%,-,2%,4%,4%,2%,4%,4%,3%,6%,3%,4%,3%,3%,4%,3%,6%,3%,6%,3%,3%,4%,1%,4%,4%,3%,4%,5%,3%,4%,2%,3%,4%,4%,3%,3%,3%,3%,2%,3%,3%,4%,6%,2%,3%,4%,4%,3%,6%
Videos of me from CCTV cameras,11%,13%,10%,18%,12%,12%,6%,11%,13%,9%,10%,11%,12%,12%,12%,11%,14%,11%,5%,11%,12%,9%,12%,12%,12%,11%,13%,11%,14%,11%,12%,11%,12%,19%,12%,8%,7%,12%,10%,5%,10%,14%,11%,12%,14%,11%,13%,10%,10%,13%,13%,8%,7%,10%,10%,10%,11%,13%,16%,17%,8%,13%,14%,11%,12%,15%
Air quality from sensors in my area,51%,52%,50%,51%,51%,51%,47%,53%,56%,44%,49%,49%,51%,51%,54%,51%,61%,46%,45%,48%,51%,43%,58%,51%,51%,58%,49%,51%,61%,46%,54%,51%,53%,50%,52%,37%,40%,51%,57%,42%,49%,52%,53%,50%,52%,35%,49%,25%,49%,53%,47%,47%,41%,37%,46%,50%,53%,60%,66%,52%,60%,55%,48%,54%,54%,66%
Pictures of vehicle licence plates from traffic cameras,21%,23%,20%,26%,21%,24%,13%,23%,25%,17%,21%,21%,19%,21%,24%,22%,26%,17%,9%,20%,27%,19%,24%,19%,21%,24%,24%,22%,26%,17%,22%,25%,23%,22%,22%,12%,14%,24%,21%,15%,22%,20%,21%,23%,25%,18%,23%,13%,21%,22%,23%,21%,18%,21%,21%,20%,22%,25%,30%,31%,21%,24%,24%,23%,24%,28%
None of these,18%,19%,18%,6%,15%,17%,22%,22%,16%,21%,18%,18%,21%,19%,17%,18%,18%,18%,26%,18%,15%,19%,18%,21%,19%,15%,20%,18%,18%,18%,17%,16%,17%,8%,22%,16%,23%,20%,13%,24%,19%,15%,19%,14%,18%,12%,15%,19%,20%,16%,12%,16%,26%,21%,18%,22%,16%,12%,10%,21%,13%,12%,12%,16%,16%,13%
Don't know,13%,11%,14%,19%,14%,12%,15%,10%,10%,17%,12%,14%,12%,12%,13%,12%,9%,17%,15%,10%,12%,17%,9%,12%,12%,12%,14%,12%,9%,17%,10%,12%,11%,17%,10%,24%,25%,11%,12%,12%,16%,15%,12%,13%,6%,14%,11%,34%,12%,14%,12%,10%,13%,14%,12%,12%,12%,10%,7%,12%,9%,12%,14%,11%,12%,6%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
