Facility Name,Latitude,Longitude
Sanba Centre de Santé Et de Promotion Sociale,13.3320,-1.1332
Secteur 1 Centre de Santé Et de Promotion Sociale,13.0841,-1.0766
Secteur 4 Centre de Santé Et de Promotion Sociale,13.0678,-1.0801
Secteur 5 Centre de Santé Et de Promotion Sociale,13.3024,-1.5309
Secteur 6 Centre de Santé Et de Promotion Sociale,13.0914,-1.0616
Secteur 7 Centre de Santé Et de Promotion Sociale,13.1012,-1.1030
Secteur No. 4 Protestant Centre Médical,13.0678,-1.0871
Silmidougou Centre de Santé Et de Promotion Sociale,13.0305,-1.4279
Soubeira Centre de Santé Et de Promotion Sociale,12.8106,-0.9052
St Francois D'Assi Dispensaire,12.6454,-0.5686
Taffogo Centre de Santé Et de Promotion Sociale,13.4092,-0.5397
Tagalla Centre de Santé Et de Promotion Sociale,12.9926,-1.2263
Tampèlga Centre de Santé Et de Promotion Sociale,13.0460,-1.0920
Tangasgo Centre de Santé Et de Promotion Sociale,13.1510,-1.0699
Tanhoko Centre de Santé Et de Promotion Sociale,12.8829,-1.0188
Tanzéongo Centre de Santé Et de Promotion Sociale,13.1144,-1.4585
Taparko Centre de Santé Et de Promotion Sociale,13.4862,-0.3231
Tébéré Centre de Santé Et de Promotion Sociale,13.0505,-0.6950
Temnaoré Centre de Santé Et de Promotion Sociale,13.4336,-1.7355
Tikaré Centre de Santé Et de Promotion Sociale,13.2853,-1.7223
Tilga Centre de Santé Et de Promotion Sociale,13.0968,-0.6021
Tougouri Centre Médical,13.3143,-0.5253
Toyogdin Centre de Santé Et de Promotion Sociale,13.2431,-0.3623
Vato Centre de Santé Et de Promotion Sociale,13.4444,-1.8363
Vowogodo Centre de Santé Et de Promotion Sociale,12.8337,-0.7416
Yalgo Centre de Santé Et de Promotion Sociale,13.5024,-0.7815
Yalgo Centre de Santé Et de Promotion Sociale,13.5889,-0.2625
Yaongo Centre de Santé Et de Promotion Sociale,12.6268,-0.2683
Yilou Centre de Santé Et de Promotion Sociale,13.0210,-1.5455
Zaabga Centre de Santé Et de Promotion Sociale,12.8544,-0.5303
Zandkom Centre de Santé Et de Promotion Sociale,13.1360,-1.5490
Zaongo Centre de Santé Et de Promotion Sociale,12.9154,-0.5857
Zeguedeguin Centre de Santé Et de Promotion Sociale,12.9673,-0.4517
Ziga Centre de Santé Et de Promotion Sociale,12.6201,-0.8354
Zimtanga Centre de Santé Et de Promotion Sociale,13.4417,-1.5192
Zincko Centre de Santé Et de Promotion Sociale,13.0754,-1.3137
Zinibéogo Centre de Santé Et de Promotion Sociale,13.8713,-0.7434
Zongo Centre de Santé Et de Promotion Sociale,13.4244,-1.2325
Bakata Centre de Santé Et de Promotion Sociale,11.7693,-1.8517
Bandéo-Naponé Centre de Santé Et de Promotion Sociale,12.0457,-2.5263
Basnéré Centre de Santé Et de Promotion Sociale,11.9119,-1.7852
Batondo Centre de Santé Et de Promotion Sociale,12.1199,-2.5914
Bawiga Centre de Santé Et de Promotion Sociale,11.6119,-1.6574
Beun Centre de Santé Et de Promotion Sociale,11.2668,-2.2589
Biéha Centre de Santé Et de Promotion Sociale,11.0588,-1.8219
Bingo Centre de Santé Et de Promotion Sociale,12.3043,-1.8353
Bissou Centre de Santé Et de Promotion Sociale,12.7360,-2.5784
Bologo Centre de Santé Et de Promotion Sociale,12.6128,-1.9501
Bon Centre de Santé Et de Promotion Sociale,11.1843,-2.7515
Bonyolo Centre de Santé Et de Promotion Sociale,12.3591,-2.5136
Bougnounou Centre de Santé Et de Promotion Sociale,11.8057,-1.9992
Bouloum-Nabyiri Centre de Santé Et de Promotion Sociale,12.2482,-2.1815
Boura Centre de Santé Et de Promotion Sociale,11.0413,-2.4956
Bourou Centre de Santé Et de Promotion Sociale,12.0572,-2.0116
Bozo Centre de Santé Et de Promotion Sociale,11.0377,-2.6702
Brédié Centre de Santé Et de Promotion Sociale,11.5800,-2.6402
Cassou Centre de Santé Et de Promotion Sociale,11.5775,-2.0527
Dalo Centre de Santé Et de Promotion Sociale,11.7333,-2.0833
Dame Misericorde de Leo Centre de Santé Et de Promotion Sociale,11.1007,-2.0840
Dassa Centre de Santé Et de Promotion Sociale,12.4590,-2.6888
Didyr Centre de Santé Et de Promotion Sociale,12.5597,-2.6276
Dio Centre de Santé Et de Promotion Sociale,11.7000,-2.4500
Doudou Centre de Santé Et de Promotion Sociale,12.1688,-2.5466
Doulou Centre de Santé Et de Promotion Sociale,12.3084,-2.2635
Gallo Centre de Santé Et de Promotion Sociale,11.6620,-1.6480
Gao Centre de Santé Et de Promotion Sociale,11.6531,-2.1804
Goala Centre de Santé Et de Promotion Sociale,12.5586,-2.0891
Gode Centre de Santé Et de Promotion Sociale,11.9665,-2.3713
Godin-W Centre de Santé Et de Promotion Sociale,12.3670,-2.3003
Godo Centre de Santé Et de Promotion Sociale,12.7031,-2.1496
Godyr Centre de Santé Et de Promotion Sociale,12.6974,-2.6305
Gogo Centre de Santé Et de Promotion Sociale,12.1289,-2.1967
Gouim Centre de Santé Et de Promotion Sociale,12.4186,-2.1608
Goulouré Centre de Santé Et de Promotion Sociale,12.2333,-1.9333
Goumogo Centre de Santé Et de Promotion Sociale,11.9560,-2.1830
Goundi Centre de Santé Et de Promotion Sociale,12.2333,-2.4500
Gourcy Centre de Santé Et de Promotion Sociale,12.3333,-2.1667
Gourogo Centre de Santé Et de Promotion Sociale,11.9542,-2.2493
Gourou Centre de Santé Et de Promotion Sociale,12.8085,-2.5133
Guigui Centre de Santé Et de Promotion Sociale,12.0833,-2.7167
Imasgo Centre de Santé Et de Promotion Sociale,12.4393,-2.3349
Ipendo Centre de Santé Et de Promotion Sociale,12.0173,-2.3081
Kamedji P. Centre de Santé Et de Promotion Sociale,12.1769,-2.4506
Kamse Centre de Santé Et de Promotion Sociale,12.0526,-2.0927
Kandarzana Centre de Santé Et de Promotion Sociale,12.7789,-2.4962
Kassolo-Tiabona Centre de Santé Et de Promotion Sociale,11.5237,-2.1591
Kaya Lafi Centre Medical Jean Centre Médical Avec Antenne Chirurgicale,12.2420,-2.4020
Kayéro Centre de Santé Et de Promotion Sociale,11.2193,-2.0703
Kindi Centre de Santé Et de Promotion Sociale,12.4335,-2.0374
Kinkirsgogo Centre de Santé Et de Promotion Sociale,11.8365,-1.7543
Koalga Centre de Santé Et de Promotion Sociale,11.0977,-2.3011
Koanga Centre de Santé Et de Promotion Sociale,12.2807,-1.9977
Kokologo Centre de Santé Et de Promotion Sociale,12.1908,-1.8741
Kone Centre de Santé Et de Promotion Sociale,12.3702,-2.0766
Konzio Centre de Santé Et de Promotion Sociale,11.1193,-1.8227
Kordié Centre de Santé Et de Promotion Sociale,12.5818,-2.3670
Koudougou Centre de Santé Et de Promotion Sociale,12.2481,-2.3666
Koudougou Centre Hospitalier Régional,12.2607,-2.3592
Koudougou Centre Médical,12.2565,-2.3669
Koukin Centre de Santé Et de Promotion Sociale,11.9799,-2.1308
Koukouldi Centre de Santé Et de Promotion Sociale,12.1971,-2.5381
Koulgregogo Centre de Santé Et de Promotion Sociale,12.1898,-1.8781
Koumbo Centre de Santé Et de Promotion Sociale,11.3240,-1.6600
Koumbogoro Centre de Santé Et de Promotion Sociale,11.3676,-1.6833
Kyon Centre de Santé Et de Promotion Sociale,12.2829,-2.5797
La Centre de Santé Et de Promotion Sociale,12.0729,-2.3251
Laba Centre de Santé Et de Promotion Sociale,11.8058,-2.6717
Latou Secteur 10 Centre de Santé Et de Promotion Sociale,12.2523,-2.3529
Lattou Centre de Santé Et de Promotion Sociale,12.3017,-2.3561
Léo Centre Médical Avec Antenne Chirurgicale,11.1091,-2.1041
Lilbouré Centre de Santé Et de Promotion Sociale,11.8743,-2.4986
Livara Centre de Santé Et de Promotion Sociale,11.3290,-1.6650
Loaga Centre de Santé Et de Promotion Sociale,12.2304,-2.0707
Menega Centre de Santé Et de Promotion Sociale,12.2576,-1.7945
Moguéya Centre de Santé Et de Promotion Sociale,12.6462,-2.7210
Mokin Centre de Santé Et de Promotion Sociale,12.2258,-1.8438
Moukoan Centre de Santé Et de Promotion Sociale,12.0122,-2.2334
Mousséo Centre de Santé Et de Promotion Sociale,12.5326,-2.5326
Mouzoumou Centre de Santé Et de Promotion Sociale,12.5628,-2.5646
Nabadogo Centre de Santé Et de Promotion Sociale,12.1351,-2.0695
Nagarpoulou Centre de Santé Et de Promotion Sociale,12.3333,-2.7457
Nandiala Centre de Santé Et de Promotion Sociale,12.3299,-2.1741
Nanoro Centre Médical Avec Antenne Chirurgicale,12.6886,-2.1912
Nariou Centre de Santé Et de Promotion Sociale,12.0894,-2.1514
Nassira Centre de Santé Et de Promotion Sociale,11.5818,-2.1701
Nassoulou Centre de Santé Et de Promotion Sociale,12.3553,-2.1038
Nayalgue Centre de Santé Et de Promotion Sociale,12.3039,-2.3086
Nazoanga Centre de Santé Et de Promotion Sociale,12.6237,-2.1311
Nebielianayou Centre de Santé Et de Promotion Sociale,11.8910,-2.3654
Neboun Centre de Santé Et de Promotion Sociale,11.3014,-1.8759
Névry Centre de Santé Et de Promotion Sociale,11.3216,-2.0042
Niabouri Centre de Santé Et de Promotion Sociale,11.2641,-2.6387
Niakado Centre de Santé Et de Promotion Sociale,12.2602,-2.0826
Ninion Centre de Santé Et de Promotion Sociale,12.5000,-2.3850
Nomgomto Centre de Santé Et de Promotion Sociale,12.1700,-1.9810
Ouayou Centre de Santé Et de Promotion Sociale,11.7099,-2.0036
Outoulou Centre de Santé Et de Promotion Sociale,11.0107,-2.2633
Palogo Centre de Santé Et de Promotion Sociale,12.2074,-2.3916
Pella Centre de Santé Et de Promotion Sociale,12.5836,-2.0362
Pina Centre de Santé Et de Promotion Sociale,11.1692,-2.6120
Pitmoaga Centre de Santé Et de Promotion Sociale,12.2492,-1.8886
Poa Centre de Santé Et de Promotion Sociale,12.2071,-2.1080
Poa Centre de Santé Et de Promotion Sociale,12.3616,-2.6792
Pouni-Nord Centre de Santé Et de Promotion Sociale,12.4702,-2.6095
Pouni-Sud Centre de Santé Et de Promotion Sociale,11.9509,-2.5436
Ralo Centre de Santé Et de Promotion Sociale,12.2003,-2.1581
Ramongo Centre de Santé Et de Promotion Sociale,12.2196,-2.2402
Rana Centre de Santé Et de Promotion Sociale,12.4896,-2.2638
Réo Centre Médical,12.3166,-2.4643
Réo-Secteur 4 Centre de Santé Et de Promotion Sociale,12.3167,-2.4667
Réo-Secteur 9 Centre de Santé Et de Promotion Sociale,12.3272,-2.4451
Sabou Centre de Santé Et de Promotion Sociale,12.0599,-2.2238
Saint Maximilien K Centre Médical,12.0509,-2.2567
Saint Michel de Guy Centre de Santé Et de Promotion Sociale,12.2811,-2.3076
Sakoinse Centre de Santé Et de Promotion Sociale,12.1867,-1.9620
Sala Centre de Santé Et de Promotion Sociale,11.9321,-2.1895
Salbisgo Centre de Santé Et de Promotion Sociale,12.1615,-2.3799
Sam-Nidaga Centre de Santé Et de Promotion Sociale,12.0776,-2.0008
Sanga Centre de Santé Et de Promotion Sociale,11.0985,-2.0106
Sapo Centre de Santé Et de Promotion Sociale,11.9368,-2.0385
Sapouy Centre Médical Avec Antenne Chirurgicale,11.5459,-1.7744
Saria Centre de Santé Et de Promotion Sociale,12.2782,-2.1693
Savilly Centre de Santé Et de Promotion Sociale,12.0896,-2.0339
Secteur 1 Centre de Santé Et de Promotion Sociale,11.1001,-2.1044
Secteur 10 Centre de Santé Et de Promotion Sociale,12.2630,-2.3786
Secteur 5 Centre de Santé Et de Promotion Sociale,11.0860,-2.1145
Secteur 5 Centre de Santé Et de Promotion Sociale,12.2432,-2.3385
Secteur 7 Centre de Santé Et de Promotion Sociale,12.2377,-2.3626
Secteur 8 Centre de Santé Et de Promotion Sociale,12.2479,-2.3833
Secteur 9 Centre de Santé Et de Promotion Sociale,12.2510,-2.3929
Seguedin Centre de Santé Et de Promotion Sociale,12.6840,-2.0191
Seguedin de Sigle Centre de Santé Et de Promotion Sociale,12.4989,-1.8272
Sigle Centre de Santé Et de Promotion Sociale,12.5554,-1.8880
Silly Centre de Santé Et de Promotion Sociale,11.6037,-2.4984
Sissili Centre de Santé Et de Promotion Sociale,11.1966,-2.0138
Soaw Centre de Santé Et de Promotion Sociale,12.5169,-2.1847
Sogpelse Centre de Santé Et de Promotion Sociale,12.0319,-2.1888
Somassi Centre de Santé Et de Promotion Sociale,12.5832,-2.0873
Some Centre de Santé Et de Promotion Sociale,12.3917,-2.2073
Soula Centre de Santé Et de Promotion Sociale,12.0310,-2.0843
Soum Centre de Santé Et de Promotion Sociale,12.5997,-2.2965
Sourgou Centre de Santé Et de Promotion Sociale,12.1329,-2.2932
Sourou Centre de Santé Et de Promotion Sociale,11.4193,-1.8822
Tabou Centre de Santé Et de Promotion Sociale,11.3537,-2.1575
Temnaore Centre de Santé Et de Promotion Sociale,12.5786,-1.9280
Ténado Centre de Santé Et de Promotion Sociale,12.1929,-2.6066
Thiou Centre de Santé Et de Promotion Sociale,11.9491,-2.1976
Tiaré Centre de Santé Et de Promotion Sociale,11.4725,-1.4715
Tiessourou Centre de Santé Et de Promotion Sociale,11.3318,-2.3364
Tiogo Centre de Santé Et de Promotion Sociale,12.1676,-2.6959
Tiogo-Mossi Centre de Santé Et de Promotion Sociale,12.3364,-2.3906
Tita Centre de Santé Et de Promotion Sociale,11.9267,-2.5057
Tiyéllé Centre de Santé Et de Promotion Sociale,11.9565,-2.3271
To Centre de Santé Et de Promotion Sociale,11.4468,-2.2211
Urbain de Hanoro Centre de Santé Et de Promotion Sociale,12.6870,-2.1968
Urbain de Nanoro Centre de Santé Et de Promotion Sociale,12.6831,-2.1914
Villy Centre de Santé Et de Promotion Sociale,12.2705,-2.2342
Villy-Godin Centre de Santé Et de Promotion Sociale,12.2666,-2.2390
Woro Centre de Santé Et de Promotion Sociale,12.0391,-2.4104
Ya Centre de Santé Et de Promotion Sociale,11.4968,-2.5210
Yallé Centre de Santé Et de Promotion Sociale,11.2242,-1.9612
Yelbouga Centre de Santé Et de Promotion Sociale,11.1193,-1.9186
Yoro Centre de Santé Et de Promotion Sociale,11.0643,-2.3769
Zamo Centre de Santé Et de Promotion Sociale,12.0229,-2.7132
Zamouna Centre de Santé Et de Promotion Sociale,11.2018,-2.4671
Zawara Centre de Santé Et de Promotion Sociale,11.7856,-2.5892
Zemkemzougou Centre de Santé Et de Promotion Sociale,12.3228,-1.9494
Zoétgomde Dispensaire,12.5380,-2.1760
Zoula Centre de Santé Et de Promotion Sociale,12.2529,-2.4625
Avv Centre de Santé Et de Promotion Sociale,11.1686,-0.8653
Basgana Centre de Santé Et de Promotion Sociale,11.6146,-1.1007
Bere Centre de Santé Et de Promotion Sociale,11.8309,-1.1556
Bilbalogho Centre de Santé Et de Promotion Sociale,11.6805,-1.1654
Binde Centre de Santé Et de Promotion Sociale,11.7528,-1.0973
Boala Centre de Santé Et de Promotion Sociale,11.3781,-1.4666
Bonga Dispensaire,11.0785,-0.7827
Bonsrima Centre de Santé Et de Promotion Sociale,11.9335,-1.2246
Boungou Centre de Santé Et de Promotion Sociale,11.0411,-0.9304
Boura Centre de Santé Et de Promotion Sociale,11.6486,-1.1428
Csps Urbain Centre de Santé Et de Promotion Sociale,12.0424,-1.6079
Dagouma Centre de Santé Et de Promotion Sociale,11.9072,-1.2811
Dakola Centre de Santé Et de Promotion Sociale,11.0120,-1.1153
Dassanga Centre de Santé Et de Promotion Sociale,11.4388,-0.6535
Dirze Centre de Santé Et de Promotion Sociale,11.4061,-0.5938
Doulougou Centre de Santé Et de Promotion Sociale,11.9784,-1.4639
Doundouni Centre de Santé Et de Promotion Sociale,12.0861,-1.9126
Échelon Premier Centre de Santé Et de Promotion Sociale,11.0848,-1.1367
Échelon Premier Centre de Santé Et de Promotion Sociale,12.0809,-1.3470
Foungou Centre de Santé Et de Promotion Sociale,11.4791,-0.7117
Gana Centre de Santé Et de Promotion Sociale,12.0588,-1.4021
Gaongo Centre de Santé Et de Promotion Sociale,11.9983,-1.1709
Gogo Centre de Santé Et de Promotion Sociale,11.5563,-0.9596
Gon-Bsg Centre de Santé Et de Promotion Sociale,11.4272,-0.7730
Goumsin Centre de Santé Et de Promotion Sociale,11.9957,-1.8115
Guelwongo Centre de Santé Et de Promotion Sociale,11.0106,-0.8591
Guenon Centre de Santé Et de Promotion Sociale,11.0808,-0.8820
Guere Centre de Santé Et de Promotion Sociale,11.7981,-1.1987
Guiaro Centre de Santé Et de Promotion Sociale,11.3595,-1.3738
Guiba Centre de Santé Et de Promotion Sociale,11.6033,-1.1509
Guidsi Dispensaire,11.8776,-1.5162
Guirgho Centre de Santé Et de Promotion Sociale,11.9009,-1.3583
Idenia-Tanga Centre de Santé Et de Promotion Sociale,11.0975,-0.8519
Ilyala Centre de Santé Et de Promotion Sociale,12.0064,-2.0208
Ipelcé Centre de Santé Et de Promotion Sociale,11.9616,-1.5464
Kaibo Centre Centre de Santé Et de Promotion Sociale,11.7522,-1.0029
Kaibo Nord Centre de Santé Et de Promotion Sociale,11.8238,-0.9529
Kaibo Sud Centre de Santé Et de Promotion Sociale,11.7124,-0.9615
Kalghin Centre de Santé Et de Promotion Sociale,12.0166,-1.5522
Kalwiga Centre de Santé Et de Promotion Sociale,11.8161,-1.4128
Kampala Centre de Santé Et de Promotion Sociale,11.2013,-1.0013
Kaya Centre de Santé Et de Promotion Sociale,11.0551,-1.0199
Kayao Centre de Santé Et de Promotion Sociale,12.0096,-1.8376
Kombissiri Centre Médical Avec Antenne Chirurgicale,12.0812,-1.3470
Kondré Centre de Santé Et de Promotion Sociale,11.5845,-0.9714
Koro Centre de Santé Et de Promotion Sociale,11.4359,-1.4321
Kossilci Centre de Santé Et de Promotion Sociale,12.1305,-1.9295
Kougpaka Centre de Santé Et de Promotion Sociale,11.9965,-1.6786
Kounda Centre de Santé Et de Promotion Sociale,12.1312,-1.5013
Manga Centre Médical Avec Antenne Chirurgicale,11.6608,-1.0744
Manga Est Centre de Santé Et de Promotion Sociale,11.6513,-0.9349
Manzoara Centre de Santé Et de Promotion Sociale,11.9510,-1.0680
Masgho Dispensaire,11.8665,-1.2580
Mediga Centre de Santé Et de Promotion Sociale,11.3553,-0.7298
Monomtenga Centre de Santé Et de Promotion Sociale,12.1091,-1.3008
Nafbanka Centre de Santé Et de Promotion Sociale,12.1631,-1.0994
Nagnesna Centre de Santé Et de Promotion Sociale,11.8084,-1.3634
Nagnimi Centre de Santé Et de Promotion Sociale,12.0723,-1.3147
Niongho Dispensaire,11.8536,-1.3581
Nobere Centre de Santé Et de Promotion Sociale,11.5493,-1.1976
Nobili Centre de Santé Et de Promotion Sociale,11.7265,-1.2422
Pissi Centre de Santé Et de Promotion Sociale,12.0762,-1.4887
Po Centre Médical Avec Antenne Chirurgicale,11.1681,-1.1367
Pounkouyan Centre de Santé Et de Promotion Sociale,11.1998,-1.0842
Rakaye Centre de Santé Et de Promotion Sociale,11.8482,-1.5589
Sambin Centre de Santé Et de Promotion Sociale,11.8714,-1.6144
Samtenga Centre de Santé Et de Promotion Sociale,11.5846,-0.9714
Sancé Dispensaire,12.0170,-1.8490
Sap Marché Centre de Santé Et de Promotion Sociale,12.1051,-1.5678
Saponé Centre Médical Avec Antenne Chirurgicale,12.0541,-1.6024
Seloghin Centre de Santé Et de Promotion Sociale,11.6401,-1.2420
Sidtenga Centre de Santé Et de Promotion Sociale,11.8518,-1.1186
Sinikere Centre de Santé Et de Promotion Sociale,11.7542,-1.0944
Sondre Centre de Santé Et de Promotion Sociale,11.8289,-1.0654
Songo Centre de Santé Et de Promotion Sociale,11.1133,-1.0753
Sougou Centre de Santé Et de Promotion Sociale,11.5976,-1.1188
Sya Dispensaire,11.1891,-1.6252
Tampinko Centre de Santé Et de Promotion Sociale,12.0075,-1.3173
Tangassogo Centre de Santé Et de Promotion Sociale,11.0286,-0.9696
Tanghin Centre de Santé Et de Promotion Sociale,11.8398,-1.3470
Targho Centre de Santé Et de Promotion Sociale,11.9188,-1.6546
Thiougou Centre de Santé Et de Promotion Sociale,11.4763,-0.8755
Tiakané Centre de Santé Et de Promotion Sociale,11.1815,-1.2067
Tiébélé Centre de Santé Et de Promotion Sociale,11.0961,-0.9672
Tim Tim Centre de Santé Et de Promotion Sociale,12.0046,-2.0440
Timboué Dispensaire,11.7780,-1.3127
Toécé Centre de Santé Et de Promotion Sociale,11.8280,-1.2654
Toudou Centre de Santé Et de Promotion Sociale,11.8684,-1.3194
Toungou Dispensaire,11.0006,-0.9062
Tuili Centre de Santé Et de Promotion Sociale,11.9874,-1.3815
Urbain Centre de Santé Et de Promotion Sociale,11.1602,-1.1538
Urbain Centre de Santé Et de Promotion Sociale,11.6608,-1.0744
Urbain Centre de Santé Et de Promotion Sociale,12.0619,-1.3339
Wardogo Centre de Santé Et de Promotion Sociale,12.0418,-1.0113
Wetinga Centre de Santé Et de Promotion Sociale,11.5717,-1.0853
Yalougouroungou Centre de Santé Et de Promotion Sociale,11.9552,-1.9171
Yargo Dispensaire,11.9519,-1.3124
Zangogho Centre de Santé Et de Promotion Sociale,11.8703,-1.2046
Zaptenga Centre de Santé Et de Promotion Sociale,11.7089,-1.0887
Zécco Centre de Santé Et de Promotion Sociale,11.0318,-0.8610
Zigla Centre de Santé Et de Promotion Sociale,11.6558,-1.0356
Ziou Centre de Santé Et de Promotion Sociale,11.0349,-0.7821
Zormogdin Dispensaire,11.8271,-1.3156
Zourmakita Centre de Santé Et de Promotion Sociale,11.3931,-0.7967
Badori Centre de Santé Et de Promotion Sociale,12.9720,-0.1130
Balga Centre de Santé Et de Promotion Sociale,12.2148,0.1897
Bartiébougou Centre de Santé Et de Promotion Sociale,12.8768,0.7914
Bassiéri Centre de Santé Et de Promotion Sociale,12.8733,0.3435
Bethanie Centre Médical,12.0340,0.3728
Bilanga Centre de Santé Et de Promotion Sociale,12.5480,-0.0231
Bilanga Yanga Centre de Santé Et de Promotion Sociale,12.4614,-0.0895
Bogandé Centre Médical Avec Antenne Chirurgicale,12.9724,-0.1479
Bomboyenga Centre de Santé Et de Promotion Sociale,13.1810,-0.2816
Bondioghin Centre de Santé Et de Promotion Sociale,12.2227,0.0343
Bonseiga Centre de Santé Et de Promotion Sociale,12.9312,0.4571
Botou Centre de Santé Et de Promotion Sociale,12.4201,0.1521
Botou Centre de Santé Et de Promotion Sociale,12.4347,2.2209
Boudieri Centre de Santé Et de Promotion Sociale,12.3099,1.6537
Boukargou Centre de Santé Et de Promotion Sociale,13.3026,0.0234
Boulgou Centre de Santé Et de Promotion Sociale,12.5140,0.8280
Bourgou Centre de Santé Et de Promotion Sociale,13.1679,-0.1417
Coalla Centre de Santé Et de Promotion Sociale,13.4082,-0.1308
Combembogo Centre de Santé Et de Promotion Sociale,11.7770,0.0445
Dahangou Centre de Santé Et de Promotion Sociale,12.0785,1.5988
Dakiri Centre de Santé Et de Promotion Sociale,13.2963,-0.2667
Diabatou Centre de Santé Et de Promotion Sociale,12.7424,0.1147
Diabiga Centre de Santé Et de Promotion Sociale,12.7230,1.0505
Diabo Centre de Santé Et de Promotion Sociale,12.0184,-0.0335
Diagoargou Centre de Santé Et de Promotion Sociale,12.4859,1.9407
Diaka Centre de Santé Et de Promotion Sociale,12.9795,-0.3199
Dianga Centre de Santé Et de Promotion Sociale,12.3142,0.0601
Diapaga Centre de Santé Et de Promotion Sociale,12.0749,1.7867
Diapaga Centre Médical Avec Antenne Chirurgicale,12.0704,1.7960
Diapangou Centre de Santé Et de Promotion Sociale,12.1134,0.1860
Diapoadigou Centre de Santé Et de Promotion Sociale,12.5500,0.0167
Dinalaye Centre de Santé Et de Promotion Sociale,13.0281,0.5467
Dipienga Centre de Santé Et de Promotion Sociale,12.7883,0.2032
Fada Centre Hospitalier Régional,12.0596,0.3542
Fada I Centre de Santé Et de Promotion Sociale,12.0637,0.3573
Fada II Centre de Santé Et de Promotion Sociale,12.0596,0.3554
Fada Sect 11 Centre de Santé Et de Promotion Sociale,12.0619,0.3728
Fada Sect 7 Centre de Santé Et de Promotion Sociale,12.0726,0.3517
Fada Sect 9 Centre de Santé Et de Promotion Sociale,12.0801,0.3730
Gamboudéni Centre de Santé Et de Promotion Sociale,12.9157,0.5931
Gayéri Centre de Santé Et de Promotion Sociale,12.6534,0.4951
Gayeri Centre Médical,12.6534,0.4951
Gnongbondéni Centre de Santé Et de Promotion Sociale,12.9813,0.1999
Haaba Centre de Santé Et de Promotion Sociale,12.9304,0.7451
Haou Centre de Santé Et de Promotion Sociale,12.3548,1.0328
Igori Centre de Santé Et de Promotion Sociale,12.5901,1.1140
Kaabougou Centre de Santé Et de Promotion Sociale,11.9574,1.9901
Kalbouli Centre de Santé Et de Promotion Sociale,11.9329,1.4959
Kantchari Centre de Santé Et de Promotion Sociale,12.4753,1.5121
Kantchari Complexe Socio-Sanitaire Dispensaire,12.4788,1.5217
Kierguin Centre de Santé Et de Promotion Sociale,12.8260,-0.2226
Koalou Centre de Santé Et de Promotion Sociale,11.0484,0.9303
Koaré Centre de Santé Et de Promotion Sociale,11.9266,0.2978
Kodjéna Centre de Santé Et de Promotion Sociale,13.0869,0.2019
Kogoli Tambaga Centre de Santé Et de Promotion Sociale,11.8729,1.7779
Kogoli/ Botou Centre de Santé Et de Promotion Sociale,12.5063,2.1744
Kompienbiga Centre de Santé Et de Promotion Sociale,11.2377,0.7168
Kompienga I Centre de Santé Et de Promotion Sociale,11.2815,0.6056
Kompienga II Centre de Santé Et de Promotion Sociale,11.0801,0.7194
Kossougoudou Centre de Santé Et de Promotion Sociale,12.9326,-0.2350
Kotchari Centre de Santé Et de Promotion Sociale,11.8373,1.9145
Koulfo Centre de Santé Et de Promotion Sociale,13.2260,-0.0047
Koulpissy Centre de Santé Et de Promotion Sociale,12.0792,-0.0944
Kourgou Centre de Santé Et de Promotion Sociale,12.3730,0.7130
Lantaogo Centre de Santé Et de Promotion Sociale,12.0160,-0.0957
Léoura Centre de Santé Et de Promotion Sociale,12.9322,0.0031
Liptougou Centre de Santé Et de Promotion Sociale,13.1778,0.3168
Logobou Centre de Santé Et de Promotion Sociale,11.6258,1.6660
Louargou Centre de Santé Et de Promotion Sociale,12.0435,0.1751
Madjoari Centre de Santé Et de Promotion Sociale,11.4795,1.2434
Mahadaga Public Centre de Santé Et de Promotion Sociale,11.7200,1.7716
Maldiabari Centre de Santé Et de Promotion Sociale,12.8456,0.4342
Manni Centre de Santé Et de Promotion Sociale,13.2547,-0.2101
Manni Centre Médical,13.2546,-0.2101
Maoda Centre de Santé Et de Promotion Sociale,12.1261,0.0511
Margou Centre de Santé Et de Promotion Sociale,12.8585,0.1344
Matiacoali Centre de Santé Et de Promotion Sociale,12.3580,1.0278
Moabou Centre de Santé Et de Promotion Sociale,11.6101,1.8248
Moaka Centre de Santé Et de Promotion Sociale,12.2996,-0.0920
Moodré Centre de Santé Et de Promotion Sociale,12.1856,-0.0098
Mopienga Centre de Santé Et de Promotion Sociale,13.0842,0.0000
Morideni Centre de Santé Et de Promotion Sociale,11.6575,1.7025
Nagare Centre de Santé Et de Promotion Sociale,11.6060,1.5914
Nagré Centre de Santé Et de Promotion Sociale,11.7890,0.4467
Namoungou Centre de Santé Et de Promotion Sociale,12.0223,0.6039
Namounou Centre de Santé Et de Promotion Sociale,11.8558,1.6951
Nassougou Centre de Santé Et de Promotion Sociale,12.0757,1.1799
Natiaboani Centre de Santé Et de Promotion Sociale,11.7071,0.5022
Nayouri Centre de Santé Et de Promotion Sociale,12.2632,0.2505
Niché Centre de Santé Et de Promotion Sociale,11.2400,0.7104
Niéba Centre de Santé Et de Promotion Sociale,13.3926,-0.1534
Ougarou Centre de Santé Et de Promotion Sociale,12.1591,0.9320
Pama Centre Médical Avec Antenne Chirurgicale,11.2428,0.7035
